SITE_ID,LATITUDE,LONGITUDE,MAX_HEIGHT_M,SITE_NAME,STATUS
10355,-33.642163,150.283438,52.0,"Telstra Radio Terminal Cnr Jellicoe and Bridges St BLACKHEATH",MATCHED
135366,-33.800044,151.057236,30.3,"Optus Site Ermington Kissing Point Rd DUNDAS",MATCHED
201113,-33.817852,151.001359,32.0,"Telstra Site Westfield (top of Lifts in Carpark) cnr Church & Argyle St PARRAMATTA",MATCHED
9012464,-34.35641,150.91152,25.0,"Telstra RBS Site 9 York Rd WOONONA",MATCHED
202801,-34.582215,150.767546,27.7,"Telstra Borrowdale Close ALBION PARK",MATCHED
205733,-33.956859,150.958586,30.0,"Hutchison Site Hammondville Park Heathcote Rd HAMMONDVILLE",MATCHED
401997,-34.414174,150.899915,43.2,"Optus Site Novotel Hotel Bourke St NORTH WOLLONGONG",MATCHED
40852,-34.167286,150.61904,34.8,"Comm Site Vault Hill PICTON",MATCHED
9016690,-33.80261,150.868097,10.0,"Telstra Temp V8 Supercars 400 Ferrers Rd EASTERN CREEK",MATCHED
202505,-33.879637,151.236487,37.2,"Telstra Site New South Head Rd EDGECLIFF",MATCHED
4885,-33.802,151.00797,30.0,"Telstra Site 83-85 Sorrell St NORTH PARRAMATTA",MATCHED
133174,-33.340212,151.498667,32.0,"Telstra Site 89 The Entrance Rd THE ENTRANCE",MATCHED
201133,-33.8899,151.21119,38.2,"Rooftop Cellular antennas 61 Marlborough Street SURRY HILLS",MATCHED
9012612,-33.842278,151.062617,12.0,"Telstra COW Site Cnr Dawn Fraser Ave and Edwin Flack Ave HOMEBUSH BAY",MATCHED
53746,-33.892943,151.202477,44.0,"CMTS Site 101 George St REDFERN",MATCHED
6139,-32.664545,152.156221,31.2,"Telstra Site TEA GARDENS",MATCHED
9007615,-33.775826,151.279585,11.0,"Telstra Site Harbord Rd HARBORD",MATCHED
9008915,-34.582749,150.870165,25.9,"3GIS site Ron Costello Oval Boollwarroo Pde SHELLHARBOUR",MATCHED
10474,-33.50592,150.1478,32.0,"Endeavour Energy  Tower HASSANS WALLS",MATCHED
101791,-33.744551,150.828874,34.0,"Telstra/Hutchison Site 200 Jersey Rd PLUMPTON",MATCHED
202341,-33.800652,150.875941,40.0,"Endeavour Energy 51 Huntingwood Drive HUNTINGWOOD",MATCHED
202570,-33.8568,151.066002,30.0,"Optus/Telstra Site Parramatta Rd HOMEBUSH",MATCHED
5851,-32.923413,151.71311,19.4,"Telstra Exchange 54 Regent Street NEW LAMBTON",MATCHED
3961,-33.888962,151.170989,26.0,"Telstra Site 8 Bridge Rd STANMORE",MATCHED
201143,-33.744469,151.294528,15.0,"Telstra Exchange 1 Cumberland Ave DEE WHY",MATCHED
9001532,-35.37018,149.095383,27.0,"Mawson District Playing Fields Dumas Pl MAWSON",MATCHED
9007666,-35.435757,149.12415,24.2,"Telstra Site Johnson Dr CALWELL",MATCHED
9001793,-35.423456,149.089461,22.6,"Light Pole on the Roundabout Cnr. Isabella Dr. & Clive Steel Ave ISABELLA PLAINS",MATCHED
9001077,-35.244987,149.065761,17.9,"Telstra Belconnen Markets Carpark Lathlain St BELCONNEN",MATCHED
9001795,-35.190407,149.112791,25.4,"Lightpole on the Roundabout Gundaroo Dr & Ibis St. PALMERSTON",MATCHED
101160,-35.308428,149.133846,22.0,"CMTS Site Computer Associates House 10 National Cct BARTON",MATCHED
9002151,-35.343153,149.123932,20.5,"Street light pole No 221236 Cnr Zeehan Street & Mugga Way RED HILL",MATCHED
9675,-35.373617,149.215356,25.0,"Essential Energy 25m Monopole 1 1 McIntyre Street JERRABOMBERRA",MATCHED
132545,-35.241967,149.056985,12.0,"Telstra Site 42 Oatley Court BELCONNEN",MATCHED
135071,-33.704741,151.099596,20.0,"Optus Site Westfield Hornsby Edgeworth David Avenue HORNSBY",MATCHED
9010214,-34.530279,150.869236,14.1,"3GIS Steet Pole 258705 Cnr Windang Rd and Boronia Ave WINDANG",MATCHED
9010013,-33.860598,151.033027,36.5,"Auburn Hospital Comms Tower Hargrave Road AUBURN",MATCHED
