SITE_ID,LATITUDE,LONGITUDE,SITE_NAME,NOTES
10000312,-37.87594,144.6801,"UniQlo 250 Heaths Rd HOPPERS CROSSING","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000313,-23.84144,151.2469,"Officeworks Gladstone 57 Hanson Rd GLADSTONE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000315,-12.396254,130.903874,"Shop 3 1 Malak Place MALAK","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000326,-34.731952,138.800172,"NBN Co Lot 91 Kersbrook Road Humbug Scrub","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000327,-34.60133,138.91545,"NBN Co 28 Mclaren Hill Road ALTONA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000340,-27.632556,152.698556,"RAAF Base Iroquois Ave Amberley","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000346,-31.902114,116.219045,"NBNCo Reserve 6203 Cairn Street Sawyers Valley","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000347,-31.860314,115.984962,"NBNCo 4165 West Swan Road","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000350,-27.693798,153.150435,"27 Clarendon Ave Bethania","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000351,-27.208505,152.988758,"Saltwater Circuit (NW cnr of)  Bruce Highway and Boundary Road NARANGBA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000354,-33.866807,151.207134,"Centre of SLR APS (in front of) 333 George Streeet SYDNEY","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000355,-33.874087,151.164016,"APS test track cnr City Link West and Catherine Street LILYFIELD","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000356,-37.809387,144.919341,"ACFS E-Depot Melbourne 55-89 Coode Road WEST MELBOURNE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000360,-28.0178,153.4299,"Crowne Plaza Surfers Paradise 2807 Gold Coast Highway SURFERS PARADISE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000364,-37.9158,145.0608,"Glen Eira Sports and Aquatic Centre 200 East Boundary Road BENTLEIGH EAST","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000372,-32.98712,151.671296,"3 Violet Town Rd MOUNT HUTTON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000373,-37.671011,144.84998,"Carpark Building off Arrival Drive MELBOURNE AIRPORT","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000380,-37.7626,144.9619,"26 Breese Street BRUNSWICK","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000382,-32.5344,115.7187,"3 Mandurah Terrace Mandurah","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000385,-41.31553,147.37228,"Telstra Site off Camden Hill Road Targa","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000386,-41.38258,147.29978,"Telstra Site 82 Patersonia Road Nunamara","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000387,-41.87357,146.82809,"Telstra Site 50 Cramps Bay Road Cramps Bay","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000389,-33.870905,150.957675,"3/117 The Crescent Fairfield","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000391,-34.712774,138.57607,"CAM851 Port Wakefield Road BURTON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000398,-33.76489,151.015021,"cnr Barclay and Perry Streets NORTH ROCKS","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000399,-33.7101,151.29573,"Optus Light Pole Intersection of Pittwater Road and Wakehurst Parkway NORTH NARRABEEN","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000400,-35.312463,148.064272,"St Joseph's Primary Adelong 21-35 Gundagai Street Adelong","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000401,-36.904439,149.236728,"St Joseph's Primary Bombala 31 Queen Street Bombala","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000403,-37.825152,144.949188,"Nike 20 Convention Centre Place SOUTH WHARF","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000404,-37.680333,145.070431,"Nike Uni Hill 2 Janefield Dr BUNDOORA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000405,-37.80597,144.997883,"28 Victoria Cresent ABBOTSFORD","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000406,-33.844181,151.040499,"126-130 Parramatta Rd AUBURN","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000407,-33.85521,151.162714,"Birkenhead Point SC Roseby St DRUMMOYNE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000408,-27.929603,153.387342,"Nike Harbourtown SC Cnr Brisbane Rd and Oxley Dr BIGGERA WATERS","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000409,-27.531418,152.947921,"DFO 16 Amazons Pl JINDALEE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000410,-27.415232,153.079753,"DFO 1 Airport Dr BRISBANE AIRPORT","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000411,-33.775158,151.012331,"VHA COW 3 Trent Road NORTH ROCKS","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000412,-20.37413,118.58628,"VHA Lattice Tower 6 TAAFFEE Street PORT HEDLAND","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000413,-36.428361,145.396022,"Airservices NDB Site Shepparton Airport SHEPPARTON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000419,-36.580854,149.108037,"Boco Rock Wind Farm Avon Lake Road Boco","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000423,-27.426134,152.988367,"Gallipoli Barracks Oval 236 Lloyd Street ENOGGERA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000424,-21.091478,149.210174,"Waratah 18 Skylark St Slade Point","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000425,-37.874411,144.67845,"Myer Werribee Cnr Derrimut & Heaths Rd Werribee","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000426,-37.873706,145.234678,"Uni Campus 369 Stud Rd WANTIRNA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000427,-37.801188,145.286355,"Uni Campus 12-50 Norton Rd CROYDON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000428,-37.9887,145.2439,"Pool in the Park cnr Kidds Road and Tristiana Street DOVETON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000431,-37.8367,144.9668,"74 Eastern Road SOUTH MELBOURNE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000432,-27.24241,153.0157,"Kmart Northlakes North Lakes Drive NORTH LAKES","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000433,-33.88704,151.2291,"24 - 28 Gordon St PADDINGTON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000434,-34.92286,138.6048,"Shop 1 - 3 Citi Centre Arcade  139 Rundle Mall ADELAIDE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000435,-33.87188,151.0918,"23 - 25 Churchill Ave STRATHFIELD","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000437,-30.3091,153.1008,"2 - 10 Hurley Dr COFF HARBOUR","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000439,-27.48198,153.003,"73 - 75 Victoria St WEST END","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000440,-33.81393,151.1791,"1 Marden St ARTARMON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000442,-32.877139,151.735026,"DGPS Site SE cnr of Tourle St and Cormorant Rd KOORGANG ISLAND","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000444,-33.774134,150.696418,"Shopping Centre 2 Birmingham Street South Penrith","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000447,-20.679295,140.506428,"Lot125/SP172357 Hensley Drive CLONCURRY","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000455,-32.176899,115.840483,"Hammond Grove Compound Wattleup Road WATTLEUP","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000459,-24.47578,153.0103,"1 - 5 Cameron St SOUTH BRISBANE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
